OTU	L.CC14.1	L.CC14.2	L.CC14.3	L.CC15.1	L.CC15.2	L.CC15.3	L.CC11.1	L.CC11.2	L.CC11.3	L.CC18.1	L.CC18.2	L.CC18.3	L.CC7.1	L.CC7.2	L.CC7.3	L.CC13.1	L.CC13.2	L.CC13.3	L.CC6.1	L.CC6.2	L.CC6.3	L.CC16.1	L.CC16.2	L.CC16.3	L.CC5.1	L.CC5.2	L.CC5.3	L.CC9.1	L.CC9.2	L.CC9.3	L.CC8.1	L.CC8.2	L.CC8.3	L.CC17.1	L.CC17.2	L.CC17.3	L.CC19.1	L.CC19.2	L.CC19.3	L.CC3.1	L.CC3.2	L.CC3.3	L.CC10.1	L.CC10.2	L.CC10.3
Zotu3060	0	0	38	91	0	4	0	0	0	14	0	43	0	0	0	0	0	0	8	0	68	0	0	18	0	46	0	0	0	0	24	8	13	0	0	0	24	0	39	0	0	0	0	0	0
Zotu3061	0	0	0	3	0	0	0	0	0	0	0	0	0	19	0	160	9	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Zotu3062	0	0	63	0	18	46	0	0	20	87	0	9	40	0	0	3	0	64	0	0	0	0	0	0	0	0	33	0	0	0	0	8	34	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3064	23	0	38	0	0	0	0	15	0	0	0	3	0	7	5	0	18	0	17	21	0	0	74	35	0	14	12	0	0	0	0	0	0	0	0	0	0	0	54	29	0	16	0	40	23
Zotu3065	4	0	0	7	0	0	0	14	0	0	7	13	9	0	5	20	0	0	0	62	23	0	9	3	0	7	18	0	0	0	29	22	15	0	0	0	48	21	3	0	0	30	0	11	0
Zotu3067	0	0	0	0	0	0	101	123	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3069	0	79	20	4	0	31	0	0	19	51	101	0	52	0	12	0	5	0	0	38	0	0	0	0	5	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu307	175	200	297	33	0	43	29	72	23	197	142	56	189	76	76	0	26	12	131	110	64	41	136	3	125	43	164	0	0	0	37	21	73	0	0	115	97	67	280	113	50	96	9	6	5
Zotu3070	0	0	0	0	0	0	0	0	0	8	0	0	47	12	0	0	11	0	0	0	0	32	26	0	16	0	0	0	0	0	0	0	0	0	0	10	25	23	6	129	15	20	0	0	0
Zotu3071	0	0	0	8	0	14	0	0	0	0	0	0	120	41	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	20	0	0	0	32	0	94	0	0	0	0	0	0
