phylum	palermo_pristine_arenella	palermo_pristine_arenella	palermo_pristine_arenella		palermo_pristine_eleuterio	palermo_pristine_eleuterio	palermo_pristine_eleuterio		castellammare_trawled	castellammare_trawled	castellammare_trawled		castellammare_untrawled	castellammare_untrawled	castellammare_untrawled		palermo_trawled	palermo_trawled	palermo_trawled	
Chordata	0	0	0		13	0	0		0	0	0		0	0	0		0	0	6.333333333	
Chordata	0	0	0		0	0	1.666666667		6.666666667	0	0		0	0	0		0	0	0	
	9	7	7	23	9	6	11	26	7	7	10	24	8	2	2	12	5	8	10	23
																				
Cnidaria	0	0	0		0	3.333333333	0		0	1.333333333	0		0	0	0		0	0	0	
Cnidaria	8.333333333	0	0		2.666666667	0	0		0	0	0		0	0	0		0	0	0	
Cnidaria	19.33333333	2	4		25.33333333	6.333333333	3.666666667		22.66666667	4.666666667	8		10.66666667	0	0		5.333333333	71.66666667	8	
Cnidaria	0	0	0		0	0	7.666666667		0	1.666666667	0		3.666666667	2.666666667	153.3333333		0	0	2.666666667	
Cnidaria	0	27.66666667	1		75	0	7		1	1.333333333	39.33333333		11.66666667	4.666666667	0		1	7	10.33333333	
Cnidaria	15	98.33333333	8		0	0	1.666666667		0	0	7.333333333		0	0	0		2.666666667	0	0	
Cnidaria	0	9.333333333	7.666666667		18	13	0		17	6.333333333	0		20	2	0		11.66666667	6	15	
Cnidaria	4	12.33333333	13.33333333		14.66666667	6	2.333333333		7	2.666666667	17.33333333		7.666666667	0	0		5	0	3.666666667	
Cnidaria	0	8.333333333	7.666666667		15.33333333	0	0		7.333333333	4	13.33333333		2.666666667	0	0		4.666666667	0	0	
Cnidaria	0	0	0		0	9.333333333	0		0	0	0		0	0	0		0	0	2.666666667	
Cnidaria	0	0	0		0	3.333333333	0		0	9.333333333	0		0	0	0		1.333333333	1	0	
Cnidaria	10.66666667	0	0		0	0	2		0	0	0		0	0	0		1	0	0	
Cnidaria	0	0	7.333333333		0	0	0		3	0	0		0	0	0		0	0	0	
Cnidaria	0	0	0		0	0	0		0	0	11.33333333		0	0	0		0	0	1.666666667	
Cnidaria	0	0	8		0	9.333333333	0		0	0	0		2	0	0		0	0	0	
Cnidaria	0	0	0		0	0	3.666666667		0	0	0		11.66666667	0	0		0	0	0	
Cnidaria	0	0	2		8.666666667	0	0		0	0	0		0	0	0		0	5.333333333	0	
Cnidaria	0	0	0		7.666666667	0	0		0	0	0		0	0	0		2	0	0	
Cnidaria	0	0	0		2	0	2		5.333333333	0	0		0	2.333333333	0		0	1.333333333	2.333333333	
Cnidaria	0	1.333333333	0		0	0	0		1.666666667	1.333333333	0		3.333333333	0	0		4.666666667	0	5	
Cnidaria	0	5.666666667	0		6.333333333	0	0		0	5.666666667	0		0	0	0		0	0	2.666666667	
	5	8	9	22	10	7	8	25	8	10	6	24	9	4	1	14	10	6	10	26
																				
Gastrotricha	0	0	82.66666667		0	172.6666667	0		44.66666667	0	60		0	0	0		0	0	10.66666667	
Gastrotricha	0	0	210.6666667		0	0	0		0	1	0		0	0	0		0	0	0	
Gastrotricha	0	3.666666667	0		0	0	0		103	44	67		0	0	0		0	0	0	
Gastrotricha	0	152.6666667	0		0	0	0		0	0	0		0	0	0		0	0	0	
Gastrotricha	0	0	0		0	0	0		0	0	0		0	0	0		97.33333333	0	0	
Gastrotricha	0	0	0		0	0	0		0	0	120.3333333		0	0	0		0	0	0	
Gastrotricha	0	165.6666667	0		0	0	0		0	0	0		0	0	0		0	0	1	
Gastrotricha	0	0	109		0	0	0		0	0	0		0	0	0		0	0	0	
Gastrotricha	0	0	0		41.66666667	27	0		0	0	0		0	0	0		0	0	0	
Gastrotricha	0	0	0		0	0	0		0	30.66666667	0		0	60	0		0	0	0	
Gastrotricha	0	0	54.66666667		0	0	0		0	0	0		0	0	0		0	0	0	
Gastrotricha	0	78	0		0	0	0		0	0	0		0	0	0		0	0	888.3333333	
Gastrotricha	0	0	0		0	0	0		14	0	0		0	0	0		0	0	0	
Gastrotricha	0	36	822		0	0	0		0	0	0		0	0	0		0	0	0	
Gastrotricha	0	0	16.66666667		0	0	0		0	0	0		0	0	0		0	0	0	
Gastrotricha	0	8	1		0	0	0		0	0	0		0	0	0		0	0	0	
	0	6	7	13	1	2	0	3	3	3	3	9	0	1	0	1	1	0	3	4
																				
Hemichordata	159.6666667	1866.666667	166.3333333		1016	0	94.66666667		0	0	0		0	96.33333333	323.6666667		827.3333333	158.3333333	743	
Hemichordata	0	0	0		0	0	0		0	0	291		0	0	0		0	0	0	
	1	1	1	3	1	0	1	2	0	0	1	1	0	1	1	2	1	1	1	3
																				
Kinorhyncha	0	0	0		3.666666667	188	27.33333333		0	6.333333333	0		0	219	0		85	0	2233.666667	
Kinorhyncha	0	0	3.666666667		0	0	0		0	913	0		0	0	0		631.3333333	0	0	
Kinorhyncha	0	0	0		0	0	22.33333333		0	0	0		0	0	0		0	0	0	
	0	0	1	1	1	1	2	4	0	2	0	2	0	1	0	1	2	0	1	3
																				
Loricifera	0	0	0		0	0	0		0	0	6077.666667		0	0	0		0	0	0	
	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
																				
Mollusca	0	4876	0		0	0	4		0	0	0		0	236200	0		0	0	0	
Mollusca	4.333333333	0	0		8	1	0		0	0	0		0	0	0		0	7.666666667	0	
Mollusca	0	0	0		5	0	0		0	0	0		0	0	0		3	0	0	
Mollusca	0	0	0		5.333333333	0	0		0	0	0		0	0	0		0	0	0	
Mollusca	0	3	0		0	0	0		0	0	0		7.333333333	0	0		0	0	0	
Mollusca	4.666666667	0	0		0	2	0		0	6	0		109.6666667	14.66666667	119.6666667		0	0	0	
Mollusca	4	0	3.666666667		0	0	0		0	0	0		0	0	0		0	0	1.333333333	
Mollusca	0	0	0		0	0	0		0	0	0		0	0	0		0	0	6.666666667	
Mollusca	0	0	0		5.666666667	7.666666667	7.666666667		0	0	7		0	0	145		7.333333333	0	8	
Mollusca	0	3	117.3333333		0	0	49.33333333		0	0	0		0	2.333333333	0		0	0	0	
Mollusca	4.666666667	0	0		0	8	0		0	0	0		0	8.666666667	139		0	0	0	
Mollusca	5.333333333	0	0		0	2101.666667	0		0	0	0		11.66666667	0	0		3.333333333	0	0	
Mollusca	42	0	0		0	12.66666667	0		0	0	0		0	0	0		0	36	2.666666667	
Mollusca	0	0	0		0	5	14		0	0	7.333333333		36.66666667	0	0		0	0	0	
Mollusca	0	17	14.66666667		0	1	0		0	0	0		0	0	0		0	0	0	
Mollusca	27.66666667	0	0		0	0	0		1	0	0		0	0	0		0	0	0	
Mollusca	0	0	0		0	0	0		0	0	0		0	0	0		0	19.33333333	0	
Mollusca	0	0	0		0	9.666666667	0		0	0	0		8.333333333	13.66666667	0		0	0	0	
Mollusca	0	0	0		0	13.33333333	0		0	0	0		5	0	0		0	0	0	
Mollusca	0	0	0		7.666666667	0	0		0	0	8.666666667		0	0	0		2.666666667	0	0	
Mollusca	0	0	7.333333333		0	0	6.666666667		0	0	0		0	0	0		0	2.666666667	0	
Mollusca	0	0	2.666666667		0	0	0		0	0	0		1.333333333	0	0		0	0	0	
Mollusca	0	0	0		0	0	0		4.333333333	0	0		0	0	0		0	0	10.66666667	
Mollusca	0	0	6.666666667		0	0	0		0	0	0		0	0	0		0	0	2.333333333	
Mollusca	0	0	3.666666667		9.666666667	0	0		0	0	0		0	0	0		0	0	0	
Mollusca	0	0	0		2	0	0		0	0	0		0	0	0		0	5.666666667	0	
Mollusca	0	8.333333333	0		0	0	0		0	0	0		0	0	0		0	1	0	
Mollusca	0	0	0		0	0	0		0	0	0		0	0	0		0	0	9.666666667	
	7	5	7	19	7	10	5	22	2	1	3	6	7	5	3	15	4	6	7	17
																				
Nematoda	0	0	0		0	0	0		0	0	0		0	0	4557.333333		0	0	24.33333333	
Nematoda	0	0	0		0	0	330.3333333		0	0	0		0	0	0		0	0	0	
Nematoda	0	0	0		0	0	0		0	0	9		0	0	0		0	0	0	
Nematoda	8	0	0		0	0	5.333333333		0	0	0		0	0	0		0	0	0	
Nematoda	0	29.33333333	0		0	4	0		104	5.333333333	99.66666667		0	0	0		91	0	0	
Nematoda	0	0	0		0	0	0		0	0	0		0	4	0		0	0	13.33333333	
Nematoda	0	0	0		0	0	0		0	0	0		0	0	0		0	0	285.6666667	
Nematoda	0	0	0		0	0	0		0	4.666666667	0		0	0	0		3.333333333	0	0	
Nematoda	0	0	0		0	0	6860.666667		0	0	0		0	0	0		0	0	0	
Nematoda	0	10	0		0	0	0		0	0	0		0	0	0		0	0	0	
Nematoda	0	41.66666667	28.66666667		0	36	0		0	0	123.3333333		0	0	0		15	0	83.33333333	
Nematoda	0	0	0		0	0	0		0	0	0		0	0	0		11.33333333	0	0	
Nematoda	0	0	0		0	0	0		0	0	0		0	0	0		4613.666667	0	0	
Nematoda	0	0	0		0	0	0		0	0	0		346.6666667	0	0		0	0	0	
Nematoda	0	0	0		0	0	0		0	0	0		287.6666667	27.33333333	0		0	0	0	
Nematoda	0	0	0		0	35	0		0	0	0		0	0	0		307.3333333	0	0	
Nematoda	0	0	0		0	0	584.3333333		0	0	0		0	0	0		133.3333333	0	0	
