phylum	PUA	PUA	PUA	PUA	PUE	PUE	PUE	PUE	CT	CT	CT	CT	CU	CU	CU	CU	PT	PT	PT	PT
Arthropoda	0	0	0	0	21.33333333	0	0	21.33333333	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	13.66666667	13.66666667	9.333333333	0	0	9.333333333	0	0	0	0	0	0	0	0	1.666666667	0	0	1.666666667
Arthropoda	0	1.666666667	0	1.666666667	1	1.666666667	1	3.666666667	0	0	0	0	0	5	0	5	7	0	0	7
Arthropoda	0	5.333333333	2	7.333333333	53.66666667	46	52	151.6666667	1.333333333	0	0	1.333333333	51	11.33333333	0	62.33333333	76.33333333	1	17	94.33333333
Arthropoda	0	13.33333333	0	13.33333333	0	0	0	0	0	0	0	0	0	4	0	4	1	0	0	1
Arthropoda	18.66666667	0	0	18.66666667	1.333333333	0	0	1.333333333	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	5.666666667	0	5.666666667	0	0	0	0	0	0	0	0	0	0	0	0	13.33333333	0	0	13.33333333
Arthropoda	0	0	13	13	1	0	0	1	41.33333333	110.3333333	146.6666667	298.3333333	0	5.333333333	0	5.333333333	0	0	1.333333333	1.333333333
Arthropoda	0	0	0	0	0	0	0	0	0	14	0	14	1	3.333333333	0	4.333333333	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	17.66666667	0	0	17.66666667	0	0	0	0	1	0	0	1
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13
Arthropoda	0	10	0	10	17.66666667	0	0	17.66666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	6.333333333	11.66666667	0	18	0	0	0	0
Arthropoda	0	0	6	6	0	3	0	3	6.333333333	2.666666667	11.66666667	20.66666667	1.666666667	5.333333333	0	7	0	0	0	0
Arthropoda	0	0	0	0	0	2	0	2	0	11	7	18	0	0	0	0	1	0	0	1
Arthropoda	0	20.33333333	4.333333333	24.66666666	16.33333333	12	14	42.33333333	40	54.66666667	52.66666667	147.3333333	0	0	0	0	30.33333333	0	52.33333333	82.66666666
Arthropoda	0	6	11.66666667	17.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	10.66666667	0	10.66666667	0	0	4.666666667	4.666666667	0	0	0	0	2.666666667	0	0	2.666666667	0	0	0	0
Arthropoda	0	0	6.666666667	6.666666667	0	0	0	0	0	0	0	0	9.666666667	0	0	9.666666667	0	0	0	0
Arthropoda	4.333333333	5	0	9.333333333	1.666666667	9.666666667	0	11.33333333	5.333333333	0	0	5.333333333	0	0	0	0	132.3333333	6	125	263.3333333
Arthropoda	0	0	0	0	0	0	2.333333333	2.333333333	3	0	0	3	7.333333333	0	0	7.333333333	0	1	2.666666667	3.666666667
Arthropoda	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	10.33333333	0	0	10.33333333
